words,wordId
b'1375',289
b'1376',290
b'1377',291
b'1378',292
b'1379',293
b'138',294
b'1381',295
b'1382',296
b'1384',297
b'1385',298
b'1386',299
b'1387',300
b'1388',301
b'1389',302
b'13891459',303
b'139',304
b'1390',305
b'1391',306
b'139148',307
b'13921393',308
b'1394',309
b'1396',310
b'13961486',311
b'1397',312
b'1398',313
b'1399',314
b'139with',315
b'13This',316
b'13s',317
b'13th',318
b'14',319
b'140',320
b'1400',321
b'14001800',322
b'140064',323
b'140143',324
b'14031424',325
b'14031425',326
b'140372',327
b'140557',328
b'1407',329
b'140758',330
b'1408',331
b'14087',332
b'141',333
b'14102',334
b'1414',335
b'141417',336
b'1415',337
b'1416',338
b'1417',339
b'141731',340
b'1419',341
b'14191514',342
b'142',343
b'142050',344
b'1425',345
b'1426',346
b'1428',347
b'1429',348
b'142964',349
b'143',350
b'1430',351
b'143094',352
b'1431',353
b'143147',354
b'143159',355
b'14316',356
b'1432',357
b'143284',358
b'1433',359
b'143399',360
b'1434',361
b'1435',362
b'14361517',363
b'143676',364
b'1438',365
b'1439',366
b'143d',367
b'143rd',368
b'144',369
b'144146',370
b'144147',371
b'1443',372
b'14451',373
b'1447',374
b'14471515',375
b'144755',376
b'1447558',377
b'1448',378
b'1449',379
b'144992',380
b'144th',381
b'145',382
b'1450',383
b'1453',384
b'145494',385
b'1455',386
b'14551522',387
b'145558',388
b'1456',389
b'1457',390
b'145864',391
b'1459',392
b'14591508',393
b'14591535',394
b'146',395
b'1460',396
b'14601524',397
b'1461',398
b'146183',399
b'14621516',400
b'146471',401
b'1465',402
b'1466',403
b'14671519',404
b'14671540',405
b'1468',406
b'1469',407
b'14691534',408
b'147',409
b'14701528',410
b'14711513',411
b'14711526',412
b'14711533',413
b'147184',414
b'14731543',415
b'14741504',416
b'14741566',417
b'14751537',418
b'1476',419
b'1478',420
b'14781541',421
b'1479',422
b'14791516',423
b'14791552',424
b'148',425
b'14801504',426
b'14801535',427
b'14801546',428
b'14801566',429
b'1482',430
b'14821531',431
b'1483',432
b'14831506',433
b'148398',434
b'1484',435
b'14841558',436
b'14851533',437
b'14851540',438
b'14851547',439
b'1486',440
b'14861519',441
b'14861543',442
b'1487',443
b'14871553',444
b'1488',445
b'14881523',446
b'1489',447
b'14891561',448
b'149',449
b'1490',450
b'14911551',451
b'1492',452
b'14921540',453
b'1494',454
b'14951550',455
b'1496',456
b'1497',457
b'1498',458
b'1499',459
b'14This',460
b'14s',461
b'14th',462
b'15',463
b'150',464
b'1500',465
b'15000',466
b'150000',467
b'150156',468
b'150213',469
b'1503',470
b'150313',471
b'150359',472
b'150488',473
b'1505',474
b'1506',475
b'150652',476
b'150682',477
b'1507',478
b'150722',479
b'1508',480
b'1509',481
b'150960',482
b'150980',483
b'151',484
b'1510',485
b'1511',486
b'1512',487
b'1513',488
b'151321',489
b'15132110',490
b'151323',491
b'151389',492
b'15138coarse',493
b'1514',494
b'151417',495
b'1515',496
b'151547',497
b'15156',498
b'151582',499
b'151595',500
b'1516',501
b'15162',502
b'151656',503
b'1517',504
b'1518',505
b'151814',506
b'1519',507
b'152',508
b'1520',509
b'1521',510
b'152123',511
b'152158',512
b'152197',513
b'1521March',514
b'1522',515
b'15223',516
b'1523',517
b'152333',518
b'152334',519
b'15235',520
b'1524',521
b'1525',522
b'15251562',523
b'1526',524
b'15261616',525
b'1527',526
b'15278',527
b'152781',528
b'1528',529
b'15281604',530
b'152898',531
b'1529',532
b'152Buddha',533
b'153',534
b'1530',535
b'1531',536
b'1531a',537
b'1532',538
b'15323',539
b'1533',540
b'153351',541
b'1534',542
b'153435',543
b'153442',544
b'153449',545
b'1535',546
b'153515',547
b'15351600',548
b'15356',549
b'1536',550
b'15361624',551
b'1537',552
b'1538',553
b'15381607',554
b'153840',555
b'153842',556
b'153884',557
b'1539',558
b'15391604',559
b'154',560
b'1540',561
b'15401609',562
b'1541',563
b'15416',564
b'1542',565
b'15421621',566
b'1543',567
b'1544',568
b'1545',569
b'154563',570
b'1546',571
b'1547',572
b'154759',573
b'1548',574
b'15481617',575
b'1549',576
b'15491604',577
b'155',578
b'1550',579
b'15501603',580
b'15501610',581
b'15505',582
b'155079',583
b'1551',584
b'1552',585
b'15521610',586
b'15521623',587
b'1553',588
b'1554',589
b'15541623',590
b'15541624',591
b'1555',592
b'15559',593
b'1556',594
b'15561648',595
b'1557',596
b'1558',597
b'1559',598
b'15591614',599
b'15591631',600
b'155960',601
b'155965',602
b'156',603
b'1560',604
b'156074',605
b'15609',606
b'1561',607
b'156159',608
b'1562',609
b'15621635',610
b'156241',611
b'1563',612
b'1564',613
b'15641642',614
b'156476',615
b'1565',616
b'1566',617
b'156672',618
b'1567',619
b'156772',620
b'1568',621
b'1569',622
b'15691629',623
b'156972',624
b'157',625
b'1570',626
b'1571',627
b'15711630',628
b'15712',629
b'1572',630
b'157285',631
b'1573',632
b'15735',633
b'1574',634
b'15741635',635
b'1575',636
b'157589',637
b'1576',638
b'15761612',639
b'15761631',640
b'1577',641
b'15771649',642
b'1578',643
b'15781648',644
b'1579',645
b'15791641',646
b'158',647
b'1580',648
b'1581',649
b'15811641',650
b'15811643',651
b'15811648',652
b'158161',653
b'1582',654
b'1583',655
b'15831652',656
b'15831660',657
b'1584',658
b'15841623',659
b'1585',660
b'15851615',661
b'15851638',662
b'15851645',663
b'158590',664
b'1586',665
b'158691',666
b'1587',667
b'1588',668
b'15881653',669
b'15881679',670
b'1589',671
b'15891610',672
b'15891669',673
b'159',674
b'1590',675
b'1592',676
b'15921605',677
b'1593',678
b'1594',679
b'1595',680
b'1596',681
b'15961649',682
b'15961665',683
b'1597',684
b'1598',685
b'15981651',686
b'1599',687
b'15OOOO',688
b'15s',689
b'15th',690
b'16',691
b'160',692
b'1600',693
b'160000000',694
b'16001350',695
b'160068',696
b'1600we',697
b'1601',698
b'160167',699
b'160181',700
b'160190',701
b'1602',702
b'160243',703
b'160280',704
b'1603',705
b'16031678',706
b'1604',707
b'1605',708
b'160521',709
b'1606',710
b'16061679',711
b'1607',712
b'16071701',713
b'1608',714
b'16081693',715
b'160857',716
b'1609',717
b'16091664',718
b'16091685',719
b'160horse',720
b'161',721
b'1610',722
b'161043',723
b'161086',724
b'1611',725
b'1612',726
b'1613',727
b'161375',728
b'1614',729
b'1615',730
b'16151706',731
b'161573',732
b'1616',733
b'1616in',734
b'1617',735
b'1618',736
b'161882',737
b'1618April',738
b'1619',739
b'161937',740
b'162',741
b'1620',742
b'1621',743
b'16211711',744
b'162123',745
b'162183',746
b'1622',747
b'16221717',748
b'1623',749
b'16231662',750
b'162344',751
b'162362',752
b'1624',753
b'16241705',754
b'16244210',755
b'162497',756
b'1625',757
b'16251669',758
b'1626',759
b'16261700',760
b'1627',761
b'1628',762
b'16281703',763
b'16281714',764
b'162845',765
b'1629',766
b'163',767
b'1630',768
b'16301718',769
b'163093',770
b'1631',771
b'16311704',772
b'163168',773
b'1632',774
b'16321704',775
b'163277',776
b'1633',777
b'16331709',778
b'1634',779
b'16341635',780
b'16341719',781
b'1635',782
b'1636',783
b'16361711',784
b'163675',785
b'1637',786
b'163757',787
b'1638',788
b'16381712',789
b'16381715',790
b'1639',791
b'16391714',792
b'16391720',793
b'16391724',794
b'164',795
b'1640',796
b'16401715',797
b'16401725',798
b'164089',799
b'164096',800
b'1641',801
b'16411703',802
b'164144',803
b'1642',804
b'16421707',805
b'1643',806
b'16431662',807
b'16431715',808
b'1644',809
b'164450',810
b'164496',811
b'1645',812
b'1646',813
b'16461710',814
b'16461720',815
b'16461728',816
b'16461729',817
b'1647',818
b'16471706',819
b'1648',820
b'16487',821
b'1649',822
b'16491728',823
b'165',824
b'1650',825
b'16501685',826
b'1651',827
b'16511715',828
b'16511719',829
b'16511722',830
b'165167',831
b'16521714',832
b'1653',833
b'16531743',834
b'165392',835
b'1654',836
b'16541739',837
b'1655',838
b'16551732',839
b'165567',840
b'165592',841
b'1656',842
b'16561668',843
b'16561723',844
b'165657',845
b'1657',846
b'16571705',847
b'1658',848
b'1659',849
b'16591707',850
b'166',851
b'1660',852
b'1661',853
b'166168',854
b'1662',855
b'16621732',856
b'16621742',857
b'1663',858
b'16631707',859
b'16631735',860
b'1664',861
b'16641681',862
b'16641742',863
b'1665',864
b'1665should',865
b'1666',866
b'16661728',867
b'1667',868
b'16671745',869
b'166769',870
b'16678',871
b'1668',872
b'16681712',873
b'16681751',874
b'1669',875
b'167',876
b'1670',877
b'167000',878
b'16701722',879
b'167076',880
b'1671',881
b'16711741',882
b'1672',883
b'16721750',884
b'16721757',885
b'1673',886
b'16731742',887
b'167375',888
b'1674',889
b'1675',890
b'16751713',891
b'16751758',892
b'1676',893
b'16761708',894
b'16761729',895
b'16761761',896
b'1677',897
b'16771720',898
b'1678',899
b'167879',900
b'1678the',901
b'1679',902
b'16791718',903
b'16791735',904
b'16791743',905
b'16791754',906
b'168',907
b'1680',908
b'1681',909
b'168170The',910
b'168177',911
b'168182',912
b'1681July',913
b'1682',914
b'16821686',915
b'1683',916
b'168350',917
b'1684',918
b'16841764',919
b'1685',920
